lr,data_time,loss,decode.loss_ce,decode.acc_seg,aux.loss_ce,aux.acc_seg,time,memory,step
0.004989083625129126,0.006263947486877442,0.9351197600364685,0.6403017610311508,64.4068374633789,0.29481798261404035,63.904823303222656,0.13914265632629394,5606.0,100.0
0.004978054233724591,0.011840057373046876,0.8062357515096664,0.571924239397049,85.0306167602539,0.23431150913238524,88.24513244628906,0.14509518146514894,1906.0,200.0
0.004967022070764953,0.01090097427368164,0.7541229963302613,0.5265057891607284,85.528564453125,0.22761719524860383,81.32781982421875,0.14510064125061034,1906.0,300.0
0.004955987128569859,0.015348100662231445,0.6104310572147369,0.41979020833969116,83.1146240234375,0.19064084440469742,84.1400146484375,0.15068860054016114,1906.0,400.0
0.004944949399418213,0.0073441267013549805,0.5172238230705262,0.3563354969024658,89.70743560791016,0.16088831871747972,89.96479797363281,0.14180219173431396,9087.0,500.0
0.004933908875547876,0.006145644187927246,0.6012798458337784,0.4203750193119049,86.46900939941406,0.18090482652187348,85.089111328125,0.14105806350708008,1906.0,600.0
0.004922865549155322,0.007264947891235352,0.6523629784584045,0.45857547521591185,92.36958312988281,0.19378750622272492,91.01155090332031,0.14247772693634034,1906.0,700.0
0.004911819412395333,0.007233166694641113,0.5244815915822982,0.3682025134563446,85.638427734375,0.15627907887101172,84.07999420166016,0.14325261116027832,1906.0,800.0
0.004900770457380647,0.0060339212417602536,0.6065432608127594,0.42431909292936326,91.015625,0.18222416266798974,89.04774475097656,0.14083974361419677,1906.0,900.0
0.004889718676181638,0.007464599609375,0.38496588468551635,0.26159386336803436,94.4758071899414,0.12337202206254005,90.48919677734375,0.142693829536438,1906.0,1000.0
0.00487866406082598,0.011143851280212402,0.4475354880094528,0.3083039358258247,90.22979736328125,0.1392315611243248,88.55997467041016,0.14870936870574952,1906.0,1100.0
0.0048676066032983,0.011882209777832031,0.46564488410949706,0.32049559950828554,85.27628326416016,0.1451492890715599,82.64871978759766,0.156890606880188,1906.0,1200.0
0.0048565462955398415,0.00689547061920166,0.3839274555444717,0.27021916061639784,87.87078857421875,0.11370829492807388,87.06562805175781,0.14321959018707275,1906.0,1300.0
0.004845483129448104,0.0066223621368408205,0.3989691257476807,0.27680539935827253,95.1075210571289,0.12216372229158878,95.5902099609375,0.14685347080230712,1906.0,1400.0
0.0048344170968765005,0.006829762458801269,0.42367103099823,0.28948340117931365,90.79080963134766,0.13418762236833573,90.5604019165039,0.14202795028686524,1906.0,1500.0
0.004823348189634011,0.007329773902893066,0.4594598859548569,0.3172397255897522,88.81275939941406,0.1422201558947563,86.58650207519531,0.14374048709869386,1906.0,1600.0
0.004812276399484809,0.007368564605712891,0.5320449352264405,0.3743731498718262,80.4931640625,0.1576717846095562,78.9393081665039,0.1562255859375,1906.0,1700.0
0.004801201718147909,0.00971677303314209,0.45213755071163175,0.313756163418293,87.30010986328125,0.13838138580322265,86.1358642578125,0.14518558979034424,1906.0,1800.0
0.004790124137296789,0.0067352294921875,0.4843559831380844,0.33951475769281386,90.59651184082031,0.1448412261903286,91.04766845703125,0.14378046989440918,1906.0,1900.0
0.004779043648559032,0.007431650161743164,0.3524630829691887,0.24373391419649124,87.6856460571289,0.10872916877269745,88.13374328613281,0.14364752769470215,1906.0,2000.0
0.004767960243515952,0.006794095039367676,0.42162382006645205,0.285199835896492,94.86185455322266,0.13642398193478583,94.3018569946289,0.1510610818862915,1906.0,2100.0
0.0047568739137021894,0.006452417373657227,0.40346936583518983,0.2731780707836151,87.5574722290039,0.13029129654169083,87.39674377441406,0.14321820735931395,1906.0,2200.0
0.004745784650605362,0.006209254264831543,0.4446064203977585,0.3094409480690956,84.16290283203125,0.1351654715836048,84.11966705322266,0.14338281154632568,1906.0,2300.0
0.004734692445665672,0.007958269119262696,0.3653424993157387,0.25066662281751634,94.89237213134766,0.11467587500810623,94.3567886352539,0.1441343307495117,1906.0,2400.0
0.00472359729027549,0.006704211235046387,0.34790019392967225,0.2424527883529663,89.935302734375,0.10544740036129951,89.33868408203125,0.15367460250854492,1906.0,2500.0
0.004712499175778993,0.007986307144165039,0.42130832374095917,0.2869311198592186,87.40946197509766,0.13437720015645027,88.5833740234375,0.14374678134918212,1906.0,2600.0
0.004701398093471742,0.0064228296279907225,0.36879665553569796,0.2512592598795891,86.99391174316406,0.11753739863634109,87.22076416015625,0.14460430145263672,1906.0,2700.0
0.0046902940346002855,0.007123351097106934,0.31121268421411513,0.20882358253002167,93.72660064697266,0.10238910391926766,92.99163818359375,0.14731919765472412,1906.0,2800.0
0.004679186990361753,0.006842041015625,0.43089860677719116,0.30490887761116026,93.8934326171875,0.12598972469568254,93.39395904541016,0.155082106590271,1906.0,2900.0
0.004668076951903435,0.0070168495178222655,0.3273765861988068,0.22584303170442582,85.30985260009766,0.10153355300426484,87.54627990722656,0.1432204008102417,1906.0,3000.0
0.004656963910322371,0.007250380516052246,0.3787213325500488,0.2587259620428085,88.6957778930664,0.11999537348747254,86.9135513305664,0.14328234195709227,1906.0,3100.0
0.004645847856664935,0.0069694995880126955,0.3318788930773735,0.22702398151159286,95.8521499633789,0.10485491044819355,94.55921936035156,0.14678196907043456,1906.0,3200.0
0.00463472878192638,0.00829751491546631,0.33449832648038863,0.22622978389263154,91.77296447753906,0.10826853923499584,88.8880386352539,0.1444704055786133,1906.0,3300.0
0.004623606677050439,0.007199430465698242,0.3503022164106369,0.2436819240450859,90.15350341796875,0.10662029385566711,90.41188049316406,0.14358274936676024,1906.0,3400.0
